,id,optimizing_algo,loss_function,dropout_rate,batch_size,epochs,accuracy,MAE,F1
51,52,adamax,binary_focal_crossentropy,0.1,32,30,0.5334448160535117,0.4665551839464883,0.6472819216182047
52,53,sgd,binary_focal_crossentropy,0.1,32,30,0.5033444816053512,0.49665551839464883,0.6245259165613147
53,54,adam,binary_focal_crossentropy,0.15,32,30,0.5133779264214047,0.4866220735785953,0.5776487663280117
54,55,adagrad,mae,0.1,32,30,0.540133779264214,0.459866220735786,0.7007616974972796
55,56,adamax,binary_focal_crossentropy,0.15,32,30,0.5150501672240803,0.48494983277591974,0.6194225721784777
56,57,sgd,binary_crossentropy,0.15,32,30,0.5267558528428093,0.47324414715719065,0.5939741750358679
57,58,adam,binary_crossentropy,0.2,32,30,0.5451505016722408,0.45484949832775917,0.6147308781869688
58,59,adagrad,hinge,0.2,32,30,0.5083612040133779,0.4916387959866221,0.4
59,60,adamax,binary_crossentropy,0.15,32,30,0.5317725752508361,0.4682274247491639,0.625668449197861
60,61,sgd,hinge,0.2,32,30,0.540133779264214,0.459866220735786,0.7014115092290988
61,62,adam,hinge,0.05,32,30,0.5334448160535117,0.4665551839464883,0.691029900332226
62,63,adagrad,hinge,0.05,32,30,0.5418060200668896,0.45819397993311034,0.702819956616052
63,64,adamax,binary_crossentropy,0.2,32,30,0.5,0.5,0.5953991880920163
